feature,importance_mean,importance_std
recency,0.004033214709371324,0.00820480022101572
orders_per_active_day,-0.0018979833926453082,0.0012097317944466828
avg_order_value,-0.0026097271648872766,0.008128987757538234
tenure_days,-0.0026097271648872987,0.002641881073703442
frequency,-0.00403321470937128,0.002068279451264844
unique_products,-0.004744958481613271,0.004244019886120584
active_days,-0.004744958481613271,0.005614310588943864
monetary,-0.005931198102016588,0.006710384637594735
total_quantity,-0.01209964412811384,0.005973750088737429
